Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
36.86253889,-121.6150111,Rain,Daylight,Wet,Other Principal Arterial,65.0,22,January,2:00pm-2:59pm,1,Not an Intersection,1
33.79988056,-117.9153111,Clear,Dusk,Dry,Other Principal Arterial,35.0,5,January,5:00pm-5:59pm,1,Four-Way Intersection,1
33.6191,-117.8854889,Clear,Dark - Lighted,Dry,Other Principal Arterial,55.0,19,January,11:00pm-11:59pm,1,Not an Intersection,1
35.441225,-119.0298611,Clear,Dark - Lighted,Dry,Other Principal Arterial,40.0,4,January,8:00pm-8:59pm,2,Four-Way Intersection,1
35.19660556,-119.5453167,Clear,Dark - Not Lighted,Dry,Minor Arterial,55.0,7,January,11:00pm-11:59pm,1,Not an Intersection,1
38.56158611,-121.8538861,Cloudy,Daylight,Dry,Minor Arterial,55.0,10,January,10:00am-10:59am,2,Not an Intersection,1
38.65181111,-121.3830611,Cloudy,Daylight,Dry,Other Principal Arterial,45.0,22,January,11:00am-11:59am,3,Four-Way Intersection,1
38.92573889,-121.4876833,Clear,Daylight,Dry,Minor Arterial,55.0,5,January,2:00pm-2:59pm,2,Four-Way Intersection,1
34.27583333,-118.5990361,Clear,Daylight,Dry,Other Freeways and Expressways,65.0,8,January,8:00am-8:59am,3,Not an Intersection,1
36.71437778,-120.6576333,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,8,January,8:00pm-8:59pm,1,Not an Intersection,1
39.51098889,-121.4862139,Clear,Dusk,Dry,Minor Arterial,45.0,12,January,4:00pm-4:59pm,1,Not an Intersection,1
36.40845833,-119.2961361,Clear,Dark - Not Lighted,Dry,Minor Arterial,55.0,14,January,10:00pm-10:59pm,2,Not an Intersection,1
35.50799722,-120.6960417,Cloudy,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,21,January,10:00pm-10:59pm,1,Not an Intersection,1
36.61286111,-121.5670139,Rain,Daylight,Wet,Other Freeways and Expressways,55.0,22,January,9:00am-9:59am,2,Four-Way Intersection,1
38.84808889,-121.2999861,Cloudy,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,23,January,6:00pm-6:59pm,2,Not an Intersection,1
39.48600556,-121.55115,Rain,Dark - Lighted,Wet,Minor Arterial,40.0,24,January,5:00pm-5:59pm,1,T-Intersection,1
36.19620278,-119.1226306,Cloudy,Dark - Not Lighted,Wet,Major Collector,55.0,7,February,Unknown Hours,1,Not an Intersection,1
38.69453333,-121.363525,Clear,Dark - Lighted,Dry,Other Principal Arterial,45.0,25,January,9:00pm-9:59pm,1,Four-Way Intersection,1
34.01603333,-117.3629639,Rain,Daylight,Wet,Other Principal Arterial,50.0,5,February,2:00pm-2:59pm,1,Not an Intersection,1
33.97795833,-117.54065,Cloudy,Dark - Lighted,Wet,Major Collector,45.0,19,January,9:00pm-9:59pm,2,T-Intersection,1
38.62374722,-121.4178944,Clear,Dark - Lighted,Dry,Other Freeways and Expressways,65.0,23,January,11:00pm-11:59pm,1,Not an Intersection,1
35.296025,-118.9494389,Clear,Dark - Not Lighted,Dry,Major Collector,55.0,14,January,5:00am-5:59am,2,Not an Intersection,1
34.85054722,-116.7624722,Clear,Daylight,Dry,Local,50.0,29,January,8:00am-8:59am,1,Not an Intersection,1
33.83671389,-118.3414361,Clear,Daylight,Wet,Other Principal Arterial,35.0,21,January,11:00am-11:59am,1,Not an Intersection,1
34.57866667,-117.9695278,Severe Crosswinds,Dark - Not Lighted,Dry,Minor Arterial,45.0,8,January,7:00pm-7:59pm,1,Not an Intersection,1
36.67108333,-121.6392861,Cloudy,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,26,January,6:00am-6:59am,1,Not an Intersection,1
36.58173333,-121.9002528,Rain,Dark - Not Lighted,Wet,Other Freeways and Expressways,65.0,2,February,9:00pm-9:59pm,1,Not an Intersection,1
38.02706944,-121.2581056,Clear,Daylight,Dry,Other Freeways and Expressways,65.0,5,January,7:00am-7:59am,2,Not an Intersection,1
33.93103889,-118.1803917,Clear,Dark - Lighted,Dry,Other Principal Arterial,40.0,13,January,4:00am-4:59am,3,Not an Intersection,1
34.82850278,-114.5996917,Cloudy,Daylight,Wet,Interstate,70.0,21,January,10:00am-10:59am,1,Not an Intersection,1
36.06581389,-119.0808528,Clear,Dark - Not Lighted,Dry,Major Collector,50.0,10,February,6:00pm-6:59pm,1,Not an Intersection,1
34.030275,-118.1956722,Clear,Dark - Lighted,Dry,Other Freeways and Expressways,65.0,1,January,6:00am-6:59am,1,Not an Intersection,1
36.848475,-121.5587583,Rain,Daylight,Wet,Other Principal Arterial,65.0,6,February,1:00pm-1:59pm,1,Not an Intersection,1
40.27938333,-123.8541694,Rain,Daylight,Wet,Major Collector,55.0,5,February,11:00am-11:59am,2,T-Intersection,1
35.32935,-118.7587194,Clear,Daylight,Dry,Local,55.0,31,January,12:00pm-12:59pm,2,Not an Intersection,1
36.32623889,-116.42295,Clear,Dark - Not Lighted,Dry,Minor Arterial,55.0,5,January,11:00pm-11:59pm,1,Not an Intersection,1
38.36884444,-121.4540194,"Fog, Smog, Smoke",Dark - Not Lighted,Dry,Major Collector,55.0,2,January,7:00am-7:59am,1,Not an Intersection,1
33.87672778,-118.131975,Cloudy,Dark - Not Lighted,Dry,Other Freeways and Expressways,65.0,3,January,2:00am-2:59am,1,Not an Intersection,1
35.83455833,-119.2602944,Clear,Dark - Not Lighted,Dry,Other Freeways and Expressways,70.0,10,February,8:00pm-8:59pm,1,Not an Intersection,1
36.75574444,-119.7496472,Clear,Daylight,Dry,Other Freeways and Expressways,65.0,2,January,12:00pm-12:59pm,1,Not an Intersection,1
34.00095,-118.2810194,Clear,Dark - Not Lighted,Dry,Interstate,65.0,26,January,1:00am-1:59am,1,Not an Intersection,1
38.04533611,-121.0731889,Rain,Dark - Not Lighted,Wet,Major Collector,55.0,4,February,Unknown Hours,1,T-Intersection,1
37.96771111,-122.3440111,Clear,Dark - Lighted,Dry,Other Principal Arterial,35.0,6,February,3:00am-3:59am,1,Not an Intersection,1
